company_id,type,rule_id,text,confidence_pct
AMBUJACEM,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,92.0
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
AMBUJACEM,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
APOLLOHOSP,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,64.0
APOLLOHOSP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
APOLLOHOSP,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
ASIANPAINT,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,76.0
ASIANPAINT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.0
ASIANPAINT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
ASIANPAINT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
ASIANPAINT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
ATGL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
ATGL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
ATGL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
ATGL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
ATGL,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
AXISBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
AXISBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
AXISBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
AXISBANK,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
BAJAJ-AUTO,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66.0
BAJAJ-AUTO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.0
BAJAJ-AUTO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
BAJAJ-AUTO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
BAJAJFINSV,con,CON_01,Debt-to-equity ratio of 4.79 is elevated for a non-financial company and warrants monitoring,85.0
BAJAJFINSV,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,84.0
BAJAJFINSV,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,76.0
BAJAJFINSV,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,74.0
BAJAJFINSV,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.0
BAJAJFINSV,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
BAJAJFINSV,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
BAJAJFINSV,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
BAJAJHLDNG,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
BAJAJHLDNG,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,92.0
BAJAJHLDNG,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
BAJAJHLDNG,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
BAJAJHLDNG,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
BAJAJHLDNG,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
BAJAJHLDNG,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
BAJFINANCE,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,78.0
BAJFINANCE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
BAJFINANCE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
BAJFINANCE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
BAJFINANCE,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
BANKBARODA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,78.0
BANKBARODA,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
BANKBARODA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
BANKBARODA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
BANKBARODA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82.0
BANKBARODA,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
BEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
BEL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.0
BEL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
BEL,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
BHARTIARTL,con,CON_01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,85.0
BHARTIARTL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
BHARTIARTL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
BHEL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,80.0
BHEL,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,64.0
BOSCHLTD,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66.0
BOSCHLTD,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
BOSCHLTD,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,92.0
BOSCHLTD,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
BOSCHLTD,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82.0
BOSCHLTD,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
BPCL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66.0
BPCL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
BPCL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
BPCL,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
BRITANNIA,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66.0
BRITANNIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.0
BRITANNIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
BRITANNIA,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
CANBK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,78.0
CANBK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
CANBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
CANBK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
CANBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82.0
CANBK,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
CHOLAFIN,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
CHOLAFIN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
CHOLAFIN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
CHOLAFIN,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
CHOLAFIN,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
CIPLA,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66.0
CIPLA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
CIPLA,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,92.0
CIPLA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
CIPLA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
CIPLA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
CIPLA,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
COALINDIA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,78.0
COALINDIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.0
COALINDIA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
COALINDIA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
COALINDIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
COALINDIA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
COALINDIA,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
DABUR,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,76.0
DABUR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
DABUR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
DIVISLAB,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66.0
DIVISLAB,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,92.0
DIVISLAB,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
DIVISLAB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
DIVISLAB,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
DLF,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,80.0
DLF,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
DLF,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
DLF,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82.0
DLF,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
DMART,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,64.0
DMART,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,92.0
DMART,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
DMART,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
DMART,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
DMART,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
DRREDDY,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
DRREDDY,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
DRREDDY,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
DRREDDY,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
DRREDDY,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
DRREDDY,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82.0
DRREDDY,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
EICHERMOT,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
EICHERMOT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
EICHERMOT,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,92.0
EICHERMOT,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
EICHERMOT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
EICHERMOT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82.0
GAIL,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,64.0
GAIL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
GODREJCP,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66.0
GODREJCP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,64.0
GRASIM,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,74.0
GRASIM,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
HAL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,76.0
HAL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.0
HAL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
HAL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
HAL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
HAVELLS,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,64.0
HAVELLS,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,92.0
HAVELLS,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
HAVELLS,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
HCLTECH,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,78.0
HCLTECH,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.0
HCLTECH,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
HCLTECH,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
HCLTECH,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82.0
HCLTECH,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
HDFCBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
HDFCBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
HDFCBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
HDFCBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
HDFCBANK,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
HDFCLIFE,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
HDFCLIFE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
HDFCLIFE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
HDFCLIFE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
HEROMOTOCO,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,80.0
HEROMOTOCO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
HEROMOTOCO,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,92.0
HEROMOTOCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
HEROMOTOCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
HEROMOTOCO,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
HINDALCO,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
HINDALCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
HINDALCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
HINDALCO,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
HINDUNILVR,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66.0
HINDUNILVR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
HINDUNILVR,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,92.0
HINDUNILVR,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
HINDUNILVR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
ICICIBANK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,78.0
ICICIBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
ICICIBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
ICICIBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
ICICIBANK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82.0
ICICIBANK,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
ICICIGI,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
ICICIGI,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
ICICIGI,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,92.0
ICICIGI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
ICICIGI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
ICICIGI,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
ICICIPRULI,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
ICICIPRULI,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
ICICIPRULI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
ICICIPRULI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
ICICIPRULI,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
INDIGO,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,78.0
INDIGO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
INDIGO,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,92.0
INDIGO,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
INDIGO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
INDIGO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
INDIGO,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
INDIGO,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82.0
INDIGO,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
INDUSINDBK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,78.0
INDUSINDBK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
INDUSINDBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
INDUSINDBK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
INDUSINDBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82.0
INDUSINDBK,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
INFY,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,78.0
INFY,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.0
INFY,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
INFY,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
IOC,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66.0
IOC,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
IOC,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
IOC,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
IRCTC,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
IRCTC,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.0
IRCTC,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,92.0
IRCTC,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
IRCTC,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
IRCTC,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
IRCTC,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
IRCTC,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
IRFC,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
IRFC,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
IRFC,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
IRFC,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
IRFC,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
ITC,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66.0
ITC,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.0
ITC,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
ITC,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,92.0
ITC,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
ITC,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
ITC,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
JINDALSTEL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,80.0
JINDALSTEL,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,74.0
JIOFIN,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
JIOFIN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
JIOFIN,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
JSWENERGY,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,74.0
JSWENERGY,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,80.0
JSWENERGY,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
JSWENERGY,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
JSWSTEEL,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,64.0
JSWSTEEL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,84.0
KOTAKBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62.0
KOTAKBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.0
KOTAKBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,80.0
KOTAKBANK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82.0
LICI,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,66.0
LICI,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,88.0
LICI,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,85.0
LICI,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,92.0
LICI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,80.0
